year, StockKeyLabel, reason
2026, reb.27.1-2, NA
2025, reb.27.1-2, NA
2024, reb.27.1-2, NA
2023, reb.27.1-2, NA
2026, rjb.27.67a-ce-k, NA
2025, rjb.27.67a-ce-k, NA
2024, rjb.27.67a-ce-k, NA
2023, rjb.27.67a-ce-k, NA
2022, rjb.27.67a-ce-k, NA
2021, rjb.27.67a-ce-k, NA
2026, rjb.27.89a, NA
2025, rjb.27.89a, NA
2024, rjb.27.89a, NA
2023, rjb.27.89a, NA
2022, rjb.27.89a, NA
2021, rjb.27.89a, NA
2026, cap.27.1-2, NA
2025, cap.27.1-2, NA
2024, cap.27.1-2, NA
2023, cap.27.1-2, NA
2026, cod.27.1-2, NA
2025, cod.27.1-2, NA
2024, cod.27.1-2, NA
2023, cod.27.1-2, NA
2026, ghl.27.1-2, NA
2025, ghl.27.1-2, NA
2024, ghl.27.1-2, NA
2026, had.27.1-2, NA
2025, had.27.1-2, NA
2024, had.27.1-2, NA
2023, had.27.1-2, NA
2026, seh.27.125a14, NA
2025, seh.27.125a14, NA
2024, seh.27.125a14, NA
2023, seh.27.125a14, NA
2022, seh.27.125a14, NA
2021, seh.27.125a14, NA
2019, seh.27.125a14, NA
2018, seh.27.125a14, NA
2026, sez.27.2514, NA
2025, sez.27.2514, NA
2024, sez.27.2514, NA
2023, sez.27.2514, NA
2022, sez.27.2514, NA
2021, sez.27.2514, NA
2020, sez.27.2514, NA
2019, sez.27.2514, NA
2018, sez.27.2514, NA
2026, seh.27.1, NA
2025, seh.27.1, NA
2024, seh.27.1, NA
2023, seh.27.1, NA
2022, seh.27.1, NA
2021, seh.27.1, NA
2020, seh.27.1, NA
2019, seh.27.1, NA
2018, seh.27.1, NA
2026, pra.27.1-2, NA
2025, pra.27.1-2, NA
2024, pra.27.1-2, NA
2023, pra.27.1-2, NA
2022, pra.27.1-2, NA
2021, pra.27.1-2, NA
2020, pra.27.1-2, NA

